Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2018-05-08 12:00:00,BTCUSD,9170.0,9190.0,9038.0,9136.27,246.5,2243837.95
2018-05-08 11:00:00,BTCUSD,9281.0,9308.0,9170.0,9170.0,161.63,1489442.17
2018-05-08 10:00:00,BTCUSD,9295.28,9336.7,9258.0,9281.0,66.96,622279.44
2018-05-08 09:00:00,BTCUSD,9405.03,9409.71,9253.0,9295.28,88.01,819941.77
2018-05-08 08:00:00,BTCUSD,9325.0,9440.34,9325.0,9405.03,62.35,585353.03
2018-05-08 07:00:00,BTCUSD,9309.0,9398.61,9309.0,9325.0,59.76,559092.0
2018-05-08 06:00:00,BTCUSD,9351.98,9388.34,9305.0,9309.0,69.3,647463.22
2018-05-08 05:00:00,BTCUSD,9443.55,9443.55,9333.0,9351.98,81.23,763235.45
2018-05-08 04:00:00,BTCUSD,9448.22,9468.1,9400.0,9443.55,66.46,626327.36
2018-05-08 03:00:00,BTCUSD,9460.76,9469.4,9400.0,9448.22,57.73,544843.01
2018-05-08 02:00:00,BTCUSD,9429.08,9468.83,9429.08,9460.76,41.75,394617.45
2018-05-08 01:00:00,BTCUSD,9399.0,9461.02,9399.0,9429.08,58.7,554394.13
2018-05-08 00:00:00,BTCUSD,9364.0,9444.0,9364.0,9399.0,20.8,195633.05
2018-05-07 23:00:00,BTCUSD,9307.18,9399.0,9306.37,9364.0,44.94,420199.19
2018-05-07 22:00:00,BTCUSD,9400.51,9423.5,9294.37,9307.18,83.54,779293.99
2018-05-07 21:00:00,BTCUSD,9468.02,9495.0,9400.0,9400.51,96.39,910917.32
2018-05-07 20:00:00,BTCUSD,9450.0,9468.97,9399.46,9468.02,54.06,509978.98
2018-05-07 19:00:00,BTCUSD,9397.01,9488.0,9380.01,9450.0,124.54,1176339.71
2018-05-07 18:00:00,BTCUSD,9379.0,9420.77,9359.9,9397.01,103.25,970214.83
2018-05-07 17:00:00,BTCUSD,9368.0,9422.56,9367.62,9379.0,69.46,652617.41
2018-05-07 16:00:00,BTCUSD,9377.0,9415.0,9350.0,9368.0,57.61,540748.57
2018-05-07 15:00:00,BTCUSD,9329.95,9380.0,9303.25,9377.0,47.59,444518.48
2018-05-07 14:00:00,BTCUSD,9280.0,9351.0,9205.0,9329.95,106.73,987683.95
2018-05-07 13:00:00,BTCUSD,9350.0,9350.0,9268.0,9280.0,52.95,492397.11
2018-05-07 12:00:00,BTCUSD,9373.07,9375.0,9307.0,9350.0,33.13,309792.86
2018-05-07 11:00:00,BTCUSD,9323.0,9385.75,9269.0,9373.07,54.22,505929.66
2018-05-07 10:00:00,BTCUSD,9262.0,9323.0,9262.0,9323.0,78.92,733925.98
2018-05-07 09:00:00,BTCUSD,9399.0,9400.0,9262.0,9262.0,96.56,900361.29
2018-05-07 08:00:00,BTCUSD,9300.0,9422.52,9251.1,9399.0,60.25,562854.86
2018-05-07 07:00:00,BTCUSD,9387.5,9387.5,9254.0,9300.0,91.49,851388.09
2018-05-07 06:00:00,BTCUSD,9361.0,9400.89,9345.0,9387.5,26.57,249239.12
2018-05-07 05:00:00,BTCUSD,9350.0,9387.0,9295.0,9361.0,57.57,537636.02
2018-05-07 04:00:00,BTCUSD,9335.9,9387.8,9295.72,9350.0,64.87,606690.41
2018-05-07 03:00:00,BTCUSD,9347.21,9347.21,9260.0,9335.9,116.19,1079653.54
2018-05-07 02:00:00,BTCUSD,9399.8,9399.8,9300.0,9347.21,74.8,698154.51
2018-05-07 01:00:00,BTCUSD,9498.0,9500.0,9310.0,9399.8,211.37,1980605.27
2018-05-07 00:00:00,BTCUSD,9619.05,9670.0,9443.6,9498.0,86.19,823318.75
2018-05-06 23:00:00,BTCUSD,9599.73,9675.33,9599.73,9619.05,19.6,189023.28
2018-05-06 22:00:00,BTCUSD,9523.0,9670.0,9523.0,9599.73,83.15,799907.03
2018-05-06 21:00:00,BTCUSD,9541.94,9588.0,9510.0,9523.0,32.05,305771.34
2018-05-06 20:00:00,BTCUSD,9550.0,9618.1,9539.36,9541.94,33.51,320416.51
2018-05-06 19:00:00,BTCUSD,9569.46,9700.0,9540.53,9550.0,50.05,481822.14
2018-05-06 18:00:00,BTCUSD,9640.0,9661.4,9569.46,9569.46,57.18,549039.46
2018-05-06 17:00:00,BTCUSD,9643.53,9661.4,9599.0,9640.0,30.3,291935.57
2018-05-06 16:00:00,BTCUSD,9554.98,9643.53,9500.0,9643.53,38.55,369605.49
2018-05-06 15:00:00,BTCUSD,9600.2,9601.1,9478.87,9554.98,96.12,916391.79
2018-05-06 14:00:00,BTCUSD,9600.08,9650.0,9555.01,9600.2,49.18,471735.37
2018-05-06 13:00:00,BTCUSD,9570.93,9650.0,9540.0,9600.08,45.74,439314.63
2018-05-06 12:00:00,BTCUSD,9530.76,9581.68,9409.0,9570.93,158.58,1504220.8
2018-05-06 11:00:00,BTCUSD,9600.0,9649.0,9500.0,9530.76,119.04,1136044.48
2018-05-06 10:00:00,BTCUSD,9581.71,9680.0,9566.0,9600.0,88.61,852912.78
2018-05-06 09:00:00,BTCUSD,9590.0,9630.0,9550.0,9581.71,70.02,671070.0
2018-05-06 08:00:00,BTCUSD,9742.0,9742.0,9575.0,9590.0,162.87,1571748.12
2018-05-06 07:00:00,BTCUSD,9667.4,9747.0,9617.0,9742.0,72.69,704299.13
2018-05-06 06:00:00,BTCUSD,9778.0,9778.0,9588.0,9667.4,301.92,2916558.32
2018-05-06 05:00:00,BTCUSD,9865.0,9865.0,9750.0,9778.0,116.56,1141229.18
2018-05-06 04:00:00,BTCUSD,9881.68,9918.5,9859.35,9865.0,22.62,223833.21
2018-05-06 03:00:00,BTCUSD,9885.61,9940.0,9772.32,9881.68,82.89,815468.62
2018-05-06 02:00:00,BTCUSD,9970.0,9970.0,9878.04,9885.61,33.56,332920.22
2018-05-06 01:00:00,BTCUSD,9970.0,9980.0,9920.0,9970.0,44.21,440241.56
2018-05-06 00:00:00,BTCUSD,9851.12,9976.0,9850.0,9970.0,48.07,477579.68
2018-05-05 23:00:00,BTCUSD,9852.0,9899.0,9835.44,9851.12,18.4,181666.64
2018-05-05 22:00:00,BTCUSD,9810.0,9869.7,9801.74,9852.0,26.13,256818.71
2018-05-05 21:00:00,BTCUSD,9769.93,9819.0,9710.0,9810.0,116.43,1135507.94
2018-05-05 20:00:00,BTCUSD,9894.02,9894.02,9750.0,9769.93,146.65,1435699.91
2018-05-05 19:00:00,BTCUSD,9875.26,9898.0,9860.0,9894.02,7.86,77601.56
2018-05-05 18:00:00,BTCUSD,9879.97,9934.0,9807.05,9875.26,80.68,794754.21
2018-05-05 17:00:00,BTCUSD,9912.52,9946.33,9879.0,9879.97,68.7,681478.58
2018-05-05 16:00:00,BTCUSD,9914.26,9959.0,9850.0,9912.52,95.01,938803.13
2018-05-05 15:00:00,BTCUSD,9945.9,9980.0,9900.0,9914.26,66.12,657554.4
2018-05-05 14:00:00,BTCUSD,9886.26,9958.0,9885.0,9945.9,59.1,587149.51
2018-05-05 13:00:00,BTCUSD,9937.05,9980.0,9886.26,9886.26,62.24,619180.27
2018-05-05 12:00:00,BTCUSD,9870.0,9980.0,9860.0,9937.05,69.28,687278.96
2018-05-05 11:00:00,BTCUSD,9950.97,9968.99,9858.0,9870.0,94.13,932488.88
2018-05-05 10:00:00,BTCUSD,9865.0,9961.0,9865.0,9950.97,115.59,1147068.67
2018-05-05 09:00:00,BTCUSD,9832.0,9866.91,9830.0,9865.0,36.78,362406.39
2018-05-05 08:00:00,BTCUSD,9813.0,9860.0,9800.0,9832.0,40.9,401439.74
2018-05-05 07:00:00,BTCUSD,9802.0,9822.03,9801.0,9813.0,21.3,209031.72
2018-05-05 06:00:00,BTCUSD,9830.0,9875.0,9801.0,9802.0,65.18,639523.42
2018-05-05 05:00:00,BTCUSD,9840.0,9864.0,9790.0,9830.0,64.15,629049.79
2018-05-05 04:00:00,BTCUSD,9830.0,9878.0,9790.0,9840.0,48.08,473609.82
2018-05-05 03:00:00,BTCUSD,9821.4,9850.0,9780.17,9830.0,32.48,318729.1
2018-05-05 02:00:00,BTCUSD,9779.0,9875.0,9779.0,9821.4,107.8,1059436.67
2018-05-05 01:00:00,BTCUSD,9765.0,9779.0,9705.0,9779.0,21.28,207271.06
2018-05-05 00:00:00,BTCUSD,9711.0,9765.0,9700.0,9765.0,108.45,1054847.94
2018-05-04 23:00:00,BTCUSD,9752.0,9778.95,9702.33,9711.0,22.89,222763.55
2018-05-04 22:00:00,BTCUSD,9775.58,9779.0,9709.33,9752.0,20.33,198442.39
2018-05-04 21:00:00,BTCUSD,9697.72,9775.58,9697.72,9775.58,35.44,345257.21
2018-05-04 20:00:00,BTCUSD,9655.0,9723.09,9655.0,9697.72,32.38,313595.57
2018-05-04 19:00:00,BTCUSD,9667.6,9719.0,9642.0,9655.0,52.19,504260.07
2018-05-04 18:00:00,BTCUSD,9642.0,9683.0,9642.0,9667.6,43.8,422563.69
2018-05-04 17:00:00,BTCUSD,9695.0,9720.0,9642.0,9642.0,43.84,423940.03
2018-05-04 16:00:00,BTCUSD,9611.0,9698.84,9600.0,9695.0,87.78,844640.18
2018-05-04 15:00:00,BTCUSD,9709.0,9713.0,9596.14,9611.0,119.05,1146332.23
2018-05-04 14:00:00,BTCUSD,9660.31,9712.89,9650.0,9709.0,65.11,629087.58
2018-05-04 13:00:00,BTCUSD,9705.0,9772.6,9650.0,9660.31,81.35,788517.77
2018-05-04 12:00:00,BTCUSD,9752.0,9774.74,9685.37,9705.0,57.93,564254.37
2018-05-04 11:00:00,BTCUSD,9708.06,9785.12,9650.3,9752.0,77.32,748620.95
2018-05-04 10:00:00,BTCUSD,9750.73,9758.9,9682.0,9708.06,58.35,566685.09
2018-05-04 09:00:00,BTCUSD,9812.0,9817.89,9680.0,9750.73,86.68,843177.42
2018-05-04 08:00:00,BTCUSD,9674.77,9825.0,9665.11,9812.0,94.94,927646.29
2018-05-04 07:00:00,BTCUSD,9712.0,9728.77,9650.2,9674.77,49.4,478864.93
2018-05-04 06:00:00,BTCUSD,9600.0,9720.0,9580.9,9712.0,63.37,610905.44
2018-05-04 05:00:00,BTCUSD,9626.0,9650.22,9575.9,9600.0,42.28,406353.42
2018-05-04 04:00:00,BTCUSD,9575.78,9635.0,9568.1,9626.0,56.81,545735.8
2018-05-04 03:00:00,BTCUSD,9657.44,9662.59,9567.0,9575.78,76.84,738008.78
2018-05-04 02:00:00,BTCUSD,9611.49,9669.0,9611.49,9657.44,28.38,273665.99
2018-05-04 01:00:00,BTCUSD,9625.0,9690.53,9600.0,9611.49,59.79,577071.89
2018-05-04 00:00:00,BTCUSD,9750.38,9754.0,9544.0,9625.0,120.06,1153438.33
2018-05-03 23:00:00,BTCUSD,9701.0,9824.64,9650.0,9750.38,185.69,1814425.07
2018-05-03 22:00:00,BTCUSD,9663.53,9701.0,9619.64,9701.0,49.6,479652.3
